piece,big5,race,religion,count,demvote,issues,partisan_score,ticket_splitters,percent,support,repcomp,demcomp
Evangelical White Straight No degree Rural Married women,White evangelicals,White,Evangelical,6096.560615,10.2539896,0.391052034,16.6385213,5.276193132,2.964677542,Republican,2.471399038,0.493278504
Evangelical White Straight No degree Rural Married men,White evangelicals,White,Evangelical,5430.768531,7.902497616,0.317121962,12.22646326,4.126988292,2.640911576,Republican,2.318021492,0.322890083
Evangelical White Straight No degree Rural Unmarried women,White evangelicals,White,Evangelical,3907.021629,18.30789026,0.452743033,24.61138341,6.772358745,1.899933423,Republican,1.432333524,0.467599899
Evangelical White Straight No degree Suburban Married women,White evangelicals,White,Evangelical,3004.513379,14.003079,0.401090734,17.32348483,5.710194805,1.461055487,Republican,1.207949762,0.253105726
Evangelical White Straight No degree Suburban Married men,White evangelicals,White,Evangelical,2947.348123,11.9634891,0.33784605,15.54387539,5.83094308,1.433256772,Republican,1.210473125,0.222783647
Evangelical White Straight College degree Suburban Married men,White evangelicals,White,Evangelical,2479.546072,14.69269095,0.328149744,16.66296035,5.13788462,1.205770765,Republican,1.00485366,0.200917104
Evangelical White Straight No degree Rural Unmarried men,White evangelicals,White,Evangelical,2457.94209,13.19663207,0.410677659,21.72167152,4.385418227,1.195265031,Republican,0.935633487,0.259631544
Evangelical White Straight College degree Rural Married women,White evangelicals,White,Evangelical,2300.060483,14.78655439,0.389361999,16.72792393,5.86152491,1.118489274,Republican,0.931389239,0.187100035
Evangelical White Straight College degree Rural Married men,White evangelicals,White,Evangelical,2221.802141,10.07418352,0.297373205,12.06222556,4.465553371,1.080433268,Republican,0.95010897,0.130324298
Evangelical White Straight No degree Suburban Unmarried women,White evangelicals,White,Evangelical,2070.8131,23.93804974,0.475612402,27.56021925,6.732029156,1.007009276,Republican,0.729475312,0.277533964
Evangelical White Straight College degree Suburban Married women,White evangelicals,White,Evangelical,2000.44347,18.05013907,0.422289089,19.73259129,6.356490666,0.972789447,Republican,0.780832881,0.191956566
Catholic White Straight No degree Suburban Married men,Mosaic middle,White,Catholic,1772.475397,29.71031252,0.451294178,31.32913869,9.912395914,0.86193156,Mixed,0.591895826,0.270035734
Catholic White Straight No degree Suburban Married women,Mosaic middle,White,Catholic,1764.850183,36.19985007,0.515400801,37.74733994,9.963679838,0.858223518,Mixed,0.534266969,0.323956549
Catholic White Straight College degree Suburban Married men,Mosaic middle,White,Catholic,1735.429291,39.19976659,0.488617211,39.15039874,8.20873943,0.843916524,Mixed,0.51351984,0.330396684
Protestant White Straight No degree Rural Married women,Mosaic middle,White,Protestant,1705.530984,31.3350852,0.511976675,35.32238234,7.740563313,0.829377369,Mixed,0.536421524,0.292955845
Protestant White Straight No degree Rural Married men,Mosaic middle,White,Protestant,1601.91422,19.25964951,0.409324962,22.92748506,7.065405037,0.778989895,Republican,0.600387103,0.178602792
Catholic White Straight College degree Suburban Married women,Mosaic middle,White,Catholic,1598.811214,42.86335393,0.576100717,43.25445915,7.63832539,0.777480944,Mixed,0.441185767,0.336295177
Evangelical White Straight No degree Urban Unmarried women,White evangelicals,White,Evangelical,1466.248239,29.95186655,0.488675876,33.90294592,9.241511182,0.713017306,Mixed,0.471283434,0.241733872
Catholic White Straight No degree Rural Married women,Mosaic middle,White,Catholic,1456.005909,33.15753759,0.494734543,36.38806761,10.22285155,0.708036595,Mixed,0.45039576,0.257640835
Evangelical White Straight No degree Suburban Unmarried men,White evangelicals,White,Evangelical,1449.303801,15.01661088,0.419192594,19.10241499,3.177129187,0.704777448,Republican,0.570147935,0.134629513
Nothing in particular White Straight No degree Rural Married women,Mosaic middle,White,Nothing in particular,1417.291624,42.29975748,0.550697461,43.27890717,6.414328105,0.689210346,Mixed,0.39092764,0.298282706
Protestant White Straight College degree Suburban Married men,Mosaic middle,White,Protestant,1405.192055,41.39190576,0.512635175,42.33183413,7.998942266,0.683326483,Mixed,0.39406185,0.289264634
Evangelical White Straight No degree Urban Married men,White evangelicals,White,Evangelical,1394.169378,15.41731034,0.393432903,22.34129523,6.966815581,0.6779663,Republican,0.526499848,0.151466453
Nothing in particular White Straight No degree Rural Married men,Mosaic middle,White,Nothing in particular,1381.115273,32.66803367,0.482586398,35.32442067,6.661018914,0.67161826,Mixed,0.434373,0.237245259
Evangelical White Straight No degree Urban Married women,White evangelicals,White,Evangelical,1381.091129,21.73741215,0.439745154,25.10331974,8.775967014,0.671606519,Republican,0.503010987,0.168595532
Evangelical Black Straight No degree Urban Unmarried women,Black people,Black,Evangelical,1347.001673,93.00859113,0.647748025,85.90172522,3.530609291,0.655029263,Democratic,0.092347825,0.562681438
Protestant White Straight No degree Rural Unmarried women,Mosaic middle,White,Protestant,1311.619013,39.1988108,0.55628485,41.10543982,6.312373779,0.63782314,Mixed,0.375643133,0.262180007
Catholic White Straight No degree Suburban Unmarried women,Mosaic middle,White,Catholic,1295.507524,45.82222547,0.57158684,46.71181371,8.38132606,0.629988333,Mixed,0.335709357,0.294278977
Catholic White Straight No degree Rural Married men,Mosaic middle,White,Catholic,1270.119371,22.7700057,0.413229266,25.99513961,7.136706638,0.617642407,Republican,0.457085401,0.160557006
Protestant White Straight College degree Suburban Married women,Mosaic middle,White,Protestant,1254.769689,53.99664445,0.630595088,53.84741308,7.582994179,0.610178058,Mixed,0.281612959,0.328565099
Nothing in particular White Straight No degree Rural Unmarried women,Mosaic middle,White,Nothing in particular,1214.124304,50.08945304,0.612224268,50.22240283,4.615355277,0.59041274,Mixed,0.293893275,0.296519465
Evangelical White Straight No degree Urban Unmarried men,White evangelicals,White,Evangelical,1211.758894,27.49297696,0.462651398,29.84312602,5.546805655,0.589262472,Republican,0.41340813,0.175854342
Protestant White Straight No degree Suburban Married women,Mosaic middle,White,Protestant,1191.814162,35.02111325,0.538476017,37.90624628,8.758318294,0.57956361,Mixed,0.359872801,0.219690809
Evangelical White Straight College degree Urban Married men,White evangelicals,White,Evangelical,1154.32856,37.39975298,0.4651402,39.28762342,7.687955797,0.561334853,Mixed,0.34079973,0.220535123
Nothing in particular White Straight No degree Rural Unmarried men,Mosaic middle,White,Nothing in particular,1117.998162,39.9665443,0.547357989,43.42817802,4.755298007,0.543667856,Mixed,0.307562812,0.236105045
Protestant White Straight No degree Suburban Married men,Mosaic middle,White,Protestant,1114.356827,29.68999036,0.435519736,30.31942806,7.643781504,0.541897123,Mixed,0.377597015,0.164300108
Protestant White Straight College degree Rural Married women,Mosaic middle,White,Protestant,1101.145841,44.95392551,0.599321912,47.33829932,8.377035338,0.535472794,Mixed,0.28198908,0.253483714
