group,size,pct_dem
Riverside Precinct 1,4200,71
Riverside Precinct 2,3850,64
Oakdale Ward A,2600,58
Oakdale Ward B,1900,49
Maple Heights,5100,82
Maple Heights South,3300,77
Lakeshore District,4750,68
Lakeshore West,2100,55
Hillcrest Township,1450,38
Hillcrest North,980,31
Cedar Flats,3120,46
Cedar Flats East,2740,52
Pinewood Precinct,5600,88
Pinewood Annex,1230,79
Greenfield Ward 3,2980,61
Greenfield Ward 4,2240,44
Stonebridge District,3670,35
Stonebridge Mill,1560,29
Harborview Precinct,4410,74
Harborview Docks,860,66
Westgate Township,2530,41
Sunnyvale Ward 7,3990,57
Sunnyvale Ward 8,1780,48
Fairmont Crossing,2310,53
